Bewertung_Score,Wahrnehmung_Training_Score,Relevanz_Score,Fahrfaehigkeiten_Scales_Diff,Selbstvertrauen_Scales_Diff,Strassenverkehr_Performance_Scales_Diff
3.5,3.25,4.0,2.210526315789474,0.0,2.75
3.5,3.9166666666666665,2.25,1.2631578947368425,0.714285714285714,1.916666666666667
4.666666666666667,3.75,3.5,0.4210526315789469,0.35714285714285676,0.41666666666666696
3.5,3.0,2.0,0.8666666666666663,0.0,0.5999999999999996
4.666666666666667,4.75,4.0,0.8421052631578947,2.0,1.416666666666667
3.6666666666666665,3.5,4.25,1.8947368421052633,2.0714285714285716,2.166666666666667
4.0,3.5833333333333335,2.25,1.5263157894736845,0.2857142857142856,1.75
4.0,4.166666666666667,3.5,1.2631578947368416,2.2857142857142856,1.8333333333333335
4.0,3.1666666666666665,2.0,1.6315789473684212,1.1428571428571428,2.5
3.6666666666666665,3.0,2.25,0.7894736842105265,0.8571428571428572,1.25
3.8333333333333335,3.4166666666666665,2.75,2.315789473684211,1.9285714285714284,2.7499999999999996
3.8333333333333335,3.4166666666666665,2.75,2.4210526315789473,1.4999999999999996,3.0
3.8333333333333335,3.4166666666666665,2.75,2.3157894736842106,1.4999999999999996,2.583333333333333
3.8333333333333335,3.4166666666666665,2.75,2.210526315789474,1.7857142857142851,2.416666666666667
3.8333333333333335,3.4166666666666665,2.75,2.210526315789474,1.9285714285714284,2.333333333333333
3.8333333333333335,3.4166666666666665,2.75,2.210526315789474,1.214285714285714,2.5833333333333335
3.8333333333333335,3.4166666666666665,2.75,2.4210526315789473,1.6428571428571423,2.6666666666666665
