Fahrfaehigkeiten_Scales_Diff,Fahrfaehigkeiten_Quoten_Diff,Selbstvertrauen_Scales_Diff,Strassenverkehr_Performance_Scales_Diff,Strassenverkehr_Performance_Quoten_Diff,SS03_Composite,SS04_Composite,ET_SimRacing_Training_geholfen_Fahrfaehigkeiten_zu_verbessern_postQ
2.210526315789474,0.29068100358422927,0.0,2.75,0.5683333333333334,3.0,4.0,4.0
1.2631578947368425,0.10266769073220683,0.714285714285714,1.916666666666667,-0.026666666666666727,4.333333333333333,2.25,3.0
0.4210526315789469,0.21267281105990782,0.35714285714285676,0.41666666666666696,0.28166666666666673,4.5,3.5,4.0
0.8666666666666663,-0.008663594470046276,0.0,0.5999999999999996,,3.1666666666666665,2.0,3.0
0.8421052631578947,0.1306707629288274,2.0,1.416666666666667,0.41,5.0,4.0,4.0
1.8947368421052633,0.308678955453149,2.0714285714285716,2.166666666666667,0.4975,4.166666666666667,4.25,3.0
1.5263157894736845,0.3533435739887352,0.2857142857142856,1.75,0.45249999999999996,4.0,2.25,4.0
1.2631578947368416,0.23200716845878144,2.2857142857142856,1.8333333333333335,0.5075,4.333333333333333,3.5,4.0
1.6315789473684212,0.1706758832565285,1.1428571428571428,2.5,0.32666666666666666,4.0,2.0,4.0
0.5263157894736841,0.18134152585765473,,1.25,0.20999999999999996,4.166666666666667,2.75,3.0
0.7894736842105265,0.30934459805427544,0.8571428571428572,1.25,0.21083333333333337,3.8333333333333335,2.25,4.0
1.5263157894736843,0.21001024065540191,,1.9166666666666665,0.405,3.3333333333333335,2.75,3.0
2.315789473684211,0.2573374295954941,1.9285714285714284,2.7499999999999996,0.55,4.0,2.75,4.0
2.4210526315789473,0.2573374295954941,1.4999999999999996,3.0,0.55,4.0,2.75,4.0
2.3157894736842106,0.2573374295954941,1.4999999999999996,2.583333333333333,0.55,4.0,2.75,4.0
2.210526315789474,0.2573374295954941,1.7857142857142851,2.416666666666667,0.55,4.0,2.75,4.0
2.210526315789474,0.2573374295954941,1.9285714285714284,2.333333333333333,0.55,4.0,2.75,4.0
2.210526315789474,0.2573374295954941,1.214285714285714,2.5833333333333335,0.55,4.0,2.75,4.0
2.4210526315789473,0.2573374295954941,1.6428571428571423,2.6666666666666665,0.55,4.0,2.75,4.0
